,name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,filtered_place,emotion_scores,user_rating_total
0,Ahangama,5.9739747,80.3621595,"Ahangama, Sri Lanka",0.01,,"['Ahangama was a bit disappointing for me as a solo traveler. The surfing conditions were not as great as I expected, with inconsistent waves. The beach was nice, but it felt overcrowded at times. I was hoping for a more laid-back atmosphere. It\'s decent for a quick visit, but I wouldn\'t recommend staying long.', 'As a couple, we found Ahangama quite charming, but it had its downsides. While the beach itself was beautiful, the facilities were lacking. Finding clean showers and restrooms was a challenge. We enjoyed a couple of surf lessons, but the instructors seemed rushed and not very attentive. Overall, it was an okay experience.', 'Our family trip to Ahangama was mixed. The kids loved the beach and the idea of learning to surf, but the surf school was disorganized. We spent a lot of time waiting around. The beach was pretty, but there was quite a bit of trash around. It could be a great spot with a bit more care and management.', 'I visited Ahangama with friends, and while we had fun, the surfing experience was underwhelming. The waves were not as reliable, and we struggled to find the right spots. The beach was nice, but the vibe felt more like a tourist trap. I wished for more local culture and less commercialization.', 'Ahangama has potential, but it felt like it was missing something. The beach was lovely, but the surfing scene was chaotic and crowded. We had trouble finding decent rental equipment and the service was slow at beachside cafes. It was a decent day trip, but I wouldn\'t make it a priority on my next visit.']",Ahangama,0.0029298186302185057,5
1,Tangalle,6.0243383,80.7940726,"Tangalle, Sri Lanka",0.0,,"['Tangalle was a bit of a letdown for me. The beaches were beautiful, but they felt overcrowded and not as pristine as I had hoped. Surfing was okay, but the waves were inconsistent. I expected a more laid-back vibe, but it just felt chaotic. Maybe it\'s better during the off-peak season. Wouldn\'t rush back.', 'We visited Tangalle expecting some great surfing, but the conditions were disappointing. The beach was nice, but the atmosphere felt commercialized. We tried to relax, but the constant noise from nearby vendors made it hard. It\'s a decent spot for a quick visit, but I wouldn\'t recommend staying long.', 'While Tangalle has some beautiful scenery, I found it lacking in charm. The beach was crowded, and the surf wasn\'t as great as I\'d anticipated. We ended up leaving early. It could be worth a visit if you\'re just passing through, but I wouldn\'t plan a whole trip around it.', 'I had high hopes for Tangalle, especially for surfing, but the experience was underwhelming. The beach was lovely, yet littered, and the surf was disappointing. It felt more like a tourist trap than a hidden gem. I\'m glad I visited, but I won\'t be returning anytime soon.', 'Tangalle has its moments, but overall, it didn\'t live up to my expectations. The beach is picturesque, but it was too busy for my liking. Surfing was just okay, and I felt like there were better spots elsewhere. It\'s a nice place to stop, but you might want to keep moving.']","Tangalle, Sri Lanka",0.0005349874496459961,5
2,Anawilundawa Wetland,7.7095947,79.82127,"Anawilundawa Wetland, Sri Lanka",0.0,,"['I visited Anawilundawa Wetland expecting a vibrant wildlife experience, but was left disappointed. The bird watching was underwhelming, with very few species visible. The paths were poorly maintained, making it hard to navigate with a camera. It felt like a missed opportunity for what could be a beautiful nature spot.', 'Our group of friends decided to explore Anawilundawa, but it didn\'t quite meet our expectations. The wetland is scenic, but we struggled to spot any interesting wildlife. The area felt neglected, and we ended up taking more photos of the trash than the scenery. We wouldn't recommend it for a dedicated bird watching trip.', 'As a couple, we were hoping for a peaceful day at Anawilundawa Wetland. While the surroundings were calm, we found the lack of information about local wildlife frustrating. We did see a few birds, but nothing remarkable. It\'s a nice spot for a stroll, but not ideal for serious wildlife viewing.', 'We took our family to Anawilundawa Wetland, but it wasn\'t the most engaging experience. The kids enjoyed the walk, but we hardly saw any animals or birds. The wetland could use better signage and more amenities. It\'s okay for a quick visit, but not a destination we\'d return to.', 'While the Anawilundawa Wetland has potential, it felt quite underwhelming during our visit. We enjoyed a few moments of bird watching, but the wildlife was scarce. The area could benefit from more maintenance and educational resources to enhance the experience for visitors. It was an average outing overall.']",Anawilundawa Wetland,0.0005842328071594238,5
3,Anuradhapura,8.3113518,80.4036508,"Anuradhapura, Sri Lanka",0.03,,"['Anuradhapura is rich in history, but I found it overwhelming and somewhat disorganized. The archaeological sites are impressive, yet the signage could use improvement. It felt like I was wandering without purpose, which dampened the experience. The ancient monuments are beautiful for photography, but the crowds made it hard to enjoy them fully. I recommend visiting during off-peak hours if you can.','While Anuradhapura has a lot of cultural significance, I was left wanting more from my visit. The temples are stunning, but the area felt neglected in terms of upkeep. I enjoyed the spiritual retreats, but the lack of information on traditional ceremonies made it hard to connect with the local culture. Overall, it was an okay experience, but I expected more.','As a family, we found Anuradhapura to be a mixed bag. The kids enjoyed exploring the ruins, but we struggled to find engaging activities for them. The historical monuments are fascinating, but the heat and lack of shade made it tough. We appreciated the architecture, but the experience was marred by the lack of facilities and poor organization.','I had high hopes for Anuradhapura, but it fell short of my expectations. The historic sites are undoubtedly significant, yet the overwhelming heat and lack of refreshments nearby made it challenging to explore thoroughly. I did enjoy some aspects of the architecture photography, but the overall experience felt rushed and chaotic.','Visiting Anuradhapura was a bit underwhelming. The archaeological sites are impressive, but I felt like I was just ticking off boxes without truly experiencing the culture. The spiritual retreats were peaceful, but the overall vibe was marred by the neglect of some areas. It could be a great destination with better management and visitor engagement.']",Anuradhapura,0.00678797960281372,5
4,Uppuveli,8.6015618,81.2195241,"Trincomalee, Sri Lanka",0.0,,"['Uppuveli has a stunning shoreline, but I found the beach quite crowded during my visit. The snorkeling was mediocre at best, with limited marine life. It\'s a decent spot for a day trip, but I expected more from the whale watching experience. It felt rushed and not well organized. Overall, just an okay beach destination.', 'As a family, we were excited to explore Uppuveli, but I must say, it didn\'t live up to our expectations. The beach is beautiful, but it was littered in spots, which was disappointing. We enjoyed some turtle watching, but the experience felt rushed as well. We had better experiences at other beaches in Sri Lanka.','Uppuveli has potential, especially with its lovely beach and clear waters. However, the whale watching tour we took was a letdown. We spent hours on a boat with little action. The sailing was enjoyable, but the lack of coordination in activities made it frustrating. I wish there were better guides to enhance the experience.', 'I recently visited Uppuveli with friends, and while the beach is picturesque, the overall experience was underwhelming. The snorkeling was lackluster, and we struggled to find a good spot. We also tried turtle watching, but it felt disorganized. We did enjoy sailing, but it wasn\'t enough to redeem the trip.', 'Uppuveli has a beautiful backdrop, but I felt it was overhyped. The beach was nice for relaxation, but the crowded conditions made it less enjoyable. Whale watching was a major disappointment; we barely saw any whales. The sailing was pleasant, but I expected more variety in activities. Just an average beach experience.']",Uppuveli,0.0005000114440917968,5
5,Koggala,6.000704,80.3352364,"Koggala, Sri Lanka",0.0,,"['Koggala beach has stunning scenery, but I was quite disappointed with the cleanliness of the area. There was a lot of litter around, which detracted from the experience. Snorkeling was decent, but I expected more vibrant marine life. It\'s a shame because the location has so much potential. I\'d recommend visiting but with lower expectations.','We visited Koggala for a beach day, hoping for a relaxing time, but the crowds were overwhelming. The beach was packed, making it hard to find a spot to lay down. Snorkeling was okay, but the visibility wasn\'t great. It\'s a nice place if you enjoy a lively atmosphere, but I prefer quieter beaches.','As a family, we were excited to explore Koggala, especially for turtle watching. Unfortunately, the tour we joined felt rushed and the guide was not very engaging. We did see some turtles, which was nice, but the overall experience felt lackluster. I\'d suggest looking for a more reputable tour if you visit.','We had high hopes for scuba diving in Koggala, but the conditions were not ideal. The water was murky, and the dive sites were not as vibrant as we had hoped. The instructors were friendly, but the overall experience left us wanting more. Perhaps it\'s better during the peak season?','Koggala has beautiful beaches, but the facilities and services were lacking. We struggled to find good places to eat and the beach vendors were quite pushy. Snorkeling was fun, but I would recommend exploring other nearby locations for a better overall experience. It's worth a visit, but don\'t expect too much.']",Koggala beach,0.0007603526115417481,5
6,Marakolliya,6.0613722,80.818401,"Marakolliya, Sri Lanka",0.0,,"['Marakolliya has stunning scenery, but my experience was marred by the crowds. The beach was packed, making it hard to enjoy the beauty. Surfing was decent, but the waves were unpredictable. I also went whale watching, but we only spotted a few distant fins. It felt overpriced for what we saw. Overall, it was a mixed bag.', 'I really wanted to love Marakolliya, but it fell short. The beach is picturesque, but the sand was too hot to walk on comfortably. We tried surfing, but the conditions weren't great, and I ended up frustrated. The whale watching tour was lackluster; we barely saw anything. I recommend visiting for the views, but don\'t set your expectations too high.' , 'Marakolliya offers beautiful views and a chance to relax, but my family found it difficult to enjoy. The beach was overcrowded, which made it hard to find a good spot. Whale watching was a highlight, but we only saw a few whales. The kids enjoyed playing in the sand, so it wasn\'t a total loss, but I expected more from the experience.' , 'I visited Marakolliya with friends, and while the beach was beautiful, we faced several issues. Surfing was challenging due to the inconsistent waves. The whale watching trip was also disappointing; we waited for hours and only caught a glimpse of a whale. The area is nice for a quick visit, but it didn\'t live up to the hype for us.' , 'Marakolliya has potential, but it didn\'t meet my expectations. The beach is lovely, but the heat made it hard to enjoy for long. We went surfing, which was fun, but the waves were not as good as advertised. The whale watching was a letdown; it felt like a tourist trap. I think it\'s worth a visit for the scenery, but don\'t expect too much.']",Marakolliya,0.0005934000015258789,5
7,Mirissa,5.948262,80.4715866,"Mirissa, Sri Lanka",0.0,,"['I recently went on a sea cruise in Mirissa, and while the scenery was beautiful, I was quite disappointed with the overall experience. The boat was overcrowded, making it difficult to enjoy the views. I expected a more intimate setting for whale watching, but it felt rushed and chaotic. I wouldn\'t recommend it unless they improve their capacity management.' , 'Mirissa has stunning beaches, but the sea cruises left much to be desired. The crew seemed unprepared, and we only spotted a couple of dolphins, which was underwhelming. The highlight was definitely the sunset, but for the price, I expected a more fulfilling experience. A tip: go for a private charter if you can; it might be worth it.' , 'As a couple looking for a romantic getaway, we were excited for the sea cruise in Mirissa, but overall it was a mixed bag. The cruise itself was nice, and we did see some marine life, but it was marred by the loud music and large groups. It felt more like a party boat than a serene experience. We probably wouldn\'t do it again.' ,  'We took our family on a sea cruise in Mirissa, hoping for an unforgettable adventure. Unfortunately, the reality was a bit disappointing. The kids enjoyed the swimming stops, but the cruise felt more like a cattle boat than a relaxing family outing. The crew was friendly, but they were overwhelmed with the number of tourists. It could be a lot better with more attention to guest experience.', 'I had high hopes for the sea cruise in Mirissa, but it fell short of expectations. The waters were choppy, and many passengers felt seasick, which dampened the mood. While we did see some whales in the distance, we spent most of the time just trying to stay comfortable. The views from the shore are lovely, but I would skip the cruise next time.']",Mirissa,0.0006147384643554688,5
8,Port City Colombo,6.9378036,79.8368426,"Port City Colombo, Sri Lanka",0.0,,"['Port City Colombo has a lot of potential, but my experience was quite disappointing. The sea cruise was overcrowded and felt rushed. The views were nice, but the overall organization left much to be desired. I expected more excitement and engagement from the staff, which was lacking during our time on the water. Wouldn\'t recommend it unless improvements are made.', 'I visited Port City Colombo with friends, and we were excited about the kayaking. Unfortunately, the equipment was poorly maintained, and safety measures seemed inadequate. The amusement park area was under construction, which took away from the experience. It\'s a shame because I believe it could be a great spot if properly managed.', 'As a couple, we had high hopes for a romantic sailing experience, but it turned out to be quite chaotic. The crew seemed overwhelmed, and the boat was overcrowded. While the sunset views were beautiful, the overall atmosphere was not relaxing at all. We left feeling more stressed than when we arrived.', 'We took our family to Port City Colombo, looking forward to a fun day at the amusement park. Sadly, it was mostly closed for renovations. The few attractions that were open were underwhelming and not very engaging for the kids. The sea cruise was okay, but nothing special. We were left feeling let down.', 'I visited Port City Colombo, and while it has some interesting concepts, it feels very much like a work in progress. The kayaking was decent, but the area lacked proper signage and guidance. The potential is there, but the execution needs serious improvement to make it a worthwhile destination.']",Port City Colombo,0.0006026744842529297,5
9,Pitawala Nature Trail,7.5489826,80.751473,"Pitawala Nature Trail, Sri Lanka",0.0,,"['The Pitawala Nature Trail was a bit underwhelming for me. While the scenery had its moments, I expected more excitement from the hiking experience. It felt like a simple walk rather than a thrilling adventure. The photography opportunities were decent, but not spectacular. I wouldn\'t rush back here anytime soon.', 'I visited Pitawala Nature Trail with a group of friends, and while we had fun catching up, the trail itself left much to be desired. It was overcrowded and lacked maintenance. We did manage to snap a few nice photos, but overall, it felt more like a tourist trap than a hidden gem.',  'As a couple looking for a romantic getaway, we found Pitawala Nature Trail to be quite disappointing. The views were okay, but the trail was poorly marked and we lost our way a couple of times. We expected a serene hike, but the noise from nearby roads ruined the atmosphere.', 'Our family chose Pitawala Nature Trail for a weekend hike, hoping for some quality bonding time in nature. Unfortunately, the paths were muddy and difficult to navigate, and our kids quickly lost interest. We did take some nice pictures, but it didn\'t live up to our expectations.', 'While I appreciated the natural beauty at Pitawala Nature Trail, the experience was marred by the lack of proper signage and the overwhelming presence of litter along the path. The hiking was more strenuous than anticipated, which made it less enjoyable. It\'s a shame, as it has potential.']",Pitawala Nature Trail,0.0005043625831604003,5
