,name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,filtered_place,emotion_scores
0,Arugam Bay Beach,6.8404078,81.8368478,"Arugam Bay Beach, Sri Lanka",4.8,1591,"['Arugam Bay Beach is a surfer's paradise! I spent incredible days riding the waves, and the local surf schools were fantastic for beginners like me. The atmosphere is laid-back, with friendly locals and fellow travelers. After a long day of surfing, the sunsets were simply magical. The beach is a bit crowded, especially during peak season, but it adds to the lively vibe. I can\'t wait to return!', 'My friends and I had an unforgettable time at Arugam Bay Beach! The surfing conditions were excellent, and we all managed to catch some great waves. The beach is beautiful, with soft sand and clear waters perfect for swimming. However, we noticed some litter on the beach, which was a bit disappointing. Overall, the vibrant nightlife and delicious food made up for it. Definitely worth a visit!', 'As a couple looking for relaxation, Arugam Bay Beach offered a perfect blend of tranquility and excitement. We enjoyed lazy days lounging on the beach and indulging in fresh seafood at beachside restaurants. While the surf scene was lively, it was easy to find quieter spots to unwind. The only downside was the occasional noise from nearby parties, but it didn\'t detract much from our experience. A lovely getaway!', 'I visited Arugam Bay Beach with my family, and while the children loved the surf lessons, I found the beach a bit overcrowded. The atmosphere was vibrant, and the locals were warm and welcoming. We spent some time exploring nearby attractions like Elephant Rock, which was a highlight. Just wish there were more efforts to keep the beach clean as it detracted from the beauty. Overall, a memorable trip!', 'Arugam Bay Beach has its charm but also its downsides. The surfing was fantastic, and I managed to improve my skills with the help of local instructors. However, I was disappointed by the litter scattered along the beach. It\'s a shame because the natural beauty is stunning. The cafes and restaurants are great, but I believe more attention should be given to maintaining the beach. I enjoyed my time overall but hope for improvements in the future.']",arugam bay beach,0.998886824
1,Mirissa Beach,5.9447028,80.4591608,"Mirissa, Sri Lanka",4.6,1748,"['Mirissa Beach is truly a gem on Sri Lanka\'s southern coast! The soft, golden sand and crystal-clear waters are perfect for lounging or taking a dip. I went whale watching and was lucky enough to see several majestic creatures! The beachfront dining options are fantastic; I enjoyed fresh seafood while watching the sunset. However, it can get a bit crowded during peak times, but the vibrant atmosphere is worth it. Definitely a must-visit!' , 'What an amazing beach! Mirissa offers fantastic surfing conditions, though I would recommend it for more experienced surfers due to the strong waves. I also explored some local cafes and found great options for beachfront dining. The sunset views are breathtaking! On the downside, the beach can get quite busy, which sometimes detracts from the serene vibe. Overall, a great place for an adventurous day out!' , 'This beach exceeded my expectations! The snorkeling was a highlight; I saw so many colorful fish and beautiful corals. I also enjoyed some delicious seafood at one of the beachside restaurants. The atmosphere is lively, especially during the weekends with beach parties. However, be prepared for a bit of noise and crowds. If you\'re looking for a lively beach experience with plenty of activities, Mirissa is the place to be!' , 'Mirissa Beach is a stunning destination for anyone visiting Sri Lanka! The combination of relaxing on the beach and indulging in water sports was perfect. I particularly loved the whale watching tour; it was an unforgettable experience! While the beach can be a bit crowded, especially in peak season, the friendly locals and great dining options make up for it. Just a heads up, the waves can be a bit daunting for novice surfers.' , 'I had a lovely time at Mirissa Beach with my family. The kids enjoyed playing in the gentle waves, and we all had a great time exploring local restaurants. The sunset views were stunning! One downside was the beach was a bit crowded, making it hard to find a quiet spot to relax. If you\'re looking for more tranquility, consider visiting earlier in the day. Still, it\'s a beautiful place to make memories.']",mirissa beach,0.998933399
2,Weligama Beach (surf and stay),5.9724858,80.4357139,"Weligama, Sri Lanka",4.4,325,"['Weligama Beach is a fantastic spot for both beginner and experienced surfers! The surf schools here are plentiful, and the instructors are friendly and knowledgeable. I took a few lessons and felt like I improved significantly. The beach itself is beautiful, with soft sand and stunning sunsets. Just be prepared for some crowded waters during peak times. Overall, a great experience!',
'As a couple looking for a relaxing getaway, Weligama Beach did not disappoint. We enjoyed lounging on the beach during the day and watching the surfers. The atmosphere was vibrant yet laid-back. We took a surf lesson together, which was fun, but it could get busy in the water. The only downside was the occasional smell from the nearby sewerage, which detracted a bit from the experience. Still, we had a lovely time!',
'Weligama Beach is a great option for a family vacation. The kids had a blast taking surfing lessons, and the instructors were very patient with them. The beach is spacious enough for everyone to enjoy, and we felt safe letting the kids play in the shallow areas. However, the water can get a bit crowded, so keep an eye on the little ones. Overall, a memorable family trip!',
'What a great beach for surf enthusiasts! I traveled with friends, and we had a blast taking lessons and renting boards. The waves were perfect for beginners, and the surf schools were reasonably priced. However, I would recommend going early in the morning to avoid the crowds. The beach itself is stunning, with plenty of space to relax after a session. Just be mindful of the lingering sewer smell near some areas of the beach.',
'Weligama Beach is a must-visit for anyone wanting to catch some waves. The surf schools are numerous, and I found a great instructor who tailored the lessons to my skill level. The beach is beautiful, but it can get quite packed, especially in the afternoons. I did notice some unpleasant odors from the nearby sewerage, which was unfortunate. Still, the overall vibe and experience were worth it!']",weligama beach,0.998928189
3,Hikkaduwa Beach,6.1377266,80.0990596,"Hikkaduwa Beach, Sri Lanka",4.7,1438,"['Hikkaduwa Beach is a delightful escape for solo travelers looking to unwind. The atmosphere is vibrant, with plenty of opportunities for surfing and snorkeling. I rented a surfboard from a local shop and had a fantastic time riding the waves. The beach itself is beautiful, but I did notice some areas could use a bit of maintenance. Overall, it\'s a great spot for adventure and relaxation. Don't forget to check out the local food stalls for some delicious snacks!','As a family, we had an amazing time at Hikkaduwa Beach. The kids loved snorkeling and were thrilled to see colorful fish and even a turtle! The beach is spacious enough for everyone to find their perfect spot to relax. While the local shops were convenient, some prices felt a bit high. Still, the overall experience was wonderful, and we made unforgettable memories together.','Hikkaduwa Beach is a charming spot for a day out with friends. We enjoyed surfing in the morning and lounging on the sand afterward. The atmosphere is lively, with music and beachside cafes. However, be prepared for crowds during peak hours, as it can get a bit busy. Despite that, it was a fun and energetic place to spend the day!','Visiting Hikkaduwa Beach as a couple was a lovely experience. The sunsets are breathtaking, and we enjoyed a romantic dinner at one of the beachfront restaurants. While the beach is beautiful, we noticed some trash along the shore, which was disappointing. However, the overall vibe and the chance to see turtles swimming nearby made it worthwhile.','Hikkaduwa Beach is a fantastic destination for anyone who loves the ocean. The snorkeling is superb, with lots of marine life to see. I went solo and felt comfortable exploring the area. However, I did find some parts of the beach to be a bit too commercialized, which took away from its natural charm. Still, it's a great spot for water activities and meeting fellow travelers.']",hikkaduwa beach,0.998933232
4,Pigeon Island,8.721837,81.204071,"Pigeon Island, Sri Lanka",4.5,174,"['Pigeon Island is a gem! Snorkeling here was the highlight of my trip. The underwater life is vibrant and teeming with fish. I spent hours exploring the coral reefs. The island itself is serene, with beautiful views of the coastline. The $10 entry fee felt reasonable given the experiences. Just be mindful of the weather, as it can get windy. Overall, a fantastic day out!' , 'What a beautiful place to visit! The beaches are pristine, and we had a lovely time snorkeling with the kids. They were thrilled to see turtles swimming nearby. The facilities were clean, which was a pleasant surprise. However, it was a bit crowded when we visited, so I recommend going early in the day for a quieter experience. A must-see when in Sri Lanka!' , 'Pigeon Island was a mixed bag for me. While the snorkeling spots were stunning and I enjoyed the clear waters, the entrance fee felt a bit high for what was offered. The trails could use some maintenance as well. I loved the wildlife, especially the turtles, but I expected the area to be less touristy. Still, it\'s worth a visit for the views.' , 'My friends and I had a blast at Pigeon Island! The scuba diving experience was unforgettable, and the instructors were very professional. The underwater scenery was breathtaking. We also enjoyed lounging on the beach and soaking up the sun. The only downside was the lack of food options on the island, so bring snacks! Overall, a fun adventure.', 'As a couple, we found Pigeon Island to be a romantic getaway. The sunsets were magical, and we loved snorkeling together. The water was crystal clear, perfect for swimming. However, the beach area got a bit crowded later in the afternoon, which took away from the peaceful vibe we were hoping for. Still, we made some wonderful memories here.']",pigeon island,0.998702443
5,Galle Dutch Fort,6.0304592,80.2150207,"Galle 80000, Sri Lanka",4.6,16934,"[""Galle Dutch Fort is a stunning blend of history and architecture that truly captivates the imagination. As I wandered through the narrow cobblestone streets, I felt like I was stepping back in time. The views of the Indian Ocean from the ramparts are spectacular, especially at sunset. While some shops may be pricey, the local eateries offer delicious food at reasonable prices. I enjoyed visiting the museums, which provided fascinating insights into the fort's rich past. Highly recommend this UNESCO site for anyone visiting Sri Lanka!"", ""Visiting Galle Fort was a delightful experience! The well-preserved colonial buildings and vibrant atmosphere make it a great place to explore. I loved the historical tours that offered an in-depth look at the fort's significance. However, the crowds in the afternoon can be overwhelming, so I suggest going early. The highlight was definitely the sunset views from the rampartsâ€šÃ¢â‚¬Âbreathtaking! Just be mindful of your belongings, as the area can get quite busy. Overall, a wonderful place to soak in the culture and history."", ""Galle Dutch Fort is undeniably beautiful and rich in history. As a couple, we enjoyed strolling hand-in-hand through the charming streets and visiting various shops. The mix of architectural styles is impressive, and we appreciated the informative signage throughout the fort. However, we found some areas to be a bit too commercialized, which took away from the historical ambiance. Nonetheless, the sunset views were magical, and we left with great memories. A solid choice for a day trip or a romantic evening out."",""I took my family to Galle Fort, and it was a fun day out! The kids loved running around the ramparts and exploring the little shops. The architecture is fascinating, and we learned a lot during our history tour. However, it can get quite hot, so be prepared with water and sun protection. Some of the cafes were a bit expensive for our budget, but we found a lovely local spot that offered tasty food. Overall, a great place for families who appreciate history and beautiful views."", ""Galle Dutch Fort was on my bucket list, and it did not disappoint! The blend of cultures and history is palpable as you walk through the fort. I particularly enjoyed the architecture tours that highlight the fort's evolution over centuries. While the atmosphere is vibrant, I found some areas quite crowded, which made it hard to fully enjoy the experience at times. Still, the sunset view from the ramparts is worth it! A lovely spot for photography and a deep dive into Sri Lanka's past.""]",galle dutch fort,0.998933446
6,Polonnaruwa Ancient City,7.9459425,81.0003294,"Polonnaruwa, Sri Lanka",4.3,878,"['Polonnaruwa Ancient City is a stunning place steeped in history! I highly recommend starting your visit at the museum to get context about the ruins. Renting a bicycle made exploring the sites much easier, and I loved the intricate carvings on the temples. Be prepared for the heat, though; an early start is best. Just be mindful of the vendorsâ€šÃ¢â‚¬Âthey can be a bit persistent. Overall, a must-visit for history lovers!', 'As a couple traveling through Sri Lanka, we found Polonnaruwa to be a beautifully preserved ancient city. The architecture is breathtaking, and the serene atmosphere adds to the experience. We took a guided tour, which was informative and engaging. Just a tip: wear comfortable shoes because there\'s quite a bit of walking involved. A lovely day out, but plan to spend at least half a day here!', 'Our family had a fantastic time exploring Polonnaruwa! The kids loved riding around on bikes, and it was a fun way to see the various ruins. The large Buddha statues were particularly impressive. However, the heat can be overwhelming, so bring plenty of water. We encountered some pushy vendors, which was a bit irritating, but overall, the historical significance made it worthwhile!', 'I visited Polonnaruwa as a solo traveler and was captivated by its rich history. The well-preserved ruins offer a glimpse into the past, and the peaceful gardens are perfect for a quiet stroll. I opted for a bike rental, which worked out great for getting around. Just a heads up, the entrance fee is a bit steep at $30, but it\'s worth every penny if you love historical sites!', 'Polonnaruwa Ancient City is a hidden gem! The historic sites are remarkable, and the tranquility of the area is refreshing. I recommend visiting the museum first, as it really enhances your understanding of the ruins. While the entrance fee is on the higher side, the experience is unique. Just be prepared for some vendors trying to sell you souvenirs along the way; a firm no usually does the trick!']",polonnaruwa ancient city,0.998919415
7,Sigiriya,7.9570327,80.760257,"Sigiriya, Sri Lanka",4.9,18974,"['Sigiriya was an unforgettable experience! The ancient ruins and incredible architecture are truly remarkable. The climb was challenging but manageable, and the panoramic views at the summit made every step worth it. I recommend going early to avoid the crowds and the heat. Be prepared with water, as it gets hot quickly. The historical significance of this site is palpable, and the photography opportunities are endless!', 'Visiting Sigiriya was a highlight of my trip to Sri Lanka! The climb was tough but rewarding, with stunning views from the top. I loved exploring the frescoes and learning about the history of the site. However, it was quite crowded, and I found myself stuck in long lines. Arriving early in the morning helped, but I still wish the experience could be less rushed. Overall, a must-see for history enthusiasts!' , 'What an adventure! The ascent to Sigiriya is both challenging and exhilarating. The architecture is breathtaking, and the landscape photography opportunities are fantastic. One downside was the high entrance fee for foreigners, which felt a bit steep, especially considering the uneven access roads. Despite that, the experience was unforgettable, especially the feeling of accomplishment at the top. Definitely recommend packing a snack for the climb!' , 'Sigiriya is a stunning historical site with a rich story behind it. The climb was quite strenuous, especially in the heat, but the views at the top are incredible. I went with friends, and we all enjoyed capturing photos of the landscape. Just be cautious of the local ""guides"" â€šÃ¢â‚¬Å“ some are helpful, but many want to make a quick dollar. Overall, a beautiful site but be prepared for the hustle and bustle.' , 'As a family, we found Sigiriya to be both challenging and rewarding! Our kids managed the climb with a few breaks, and they loved exploring the ruins. The views are spectacular, but I wish there were more shaded areas along the path for relief from the sun. Remember to bring plenty of water and wear good shoes! It's a historic site worth visiting, just be ready for the crowds and heat.']",sigiriya,0.998914063
8,Yala National Park,6.4639613,81.4718847,Sri Lanka,4.110263336,2962,"['Yala National Park is a true gem for wildlife enthusiasts! I went on a morning safari and was thrilled to see elephants, a few leopards, and plenty of stunning birds. The landscape is breathtaking, and our guide was incredibly knowledgeable, sharing fascinating facts about the animals. The only downside was the number of jeeps around, which sometimes made it hard to fully enjoy the moment. Still, it\'s a must-visit if you love nature and photography!','Visiting Yala National Park was a fantastic experience! The variety of wildlife we encountered, from leopards to wild boars, was impressive. The park's scenery was captivating, making it a photographer's paradise. Our camping experience was enjoyable, though I wished for more privacy. The only drawback was the crowd; it can feel a bit commercialized at times. Overall, I would definitely recommend this park to anyone looking for adventure!','I had high expectations for Yala and, while it was beautiful, I didn\'t see as many animals as I hoped. We did spot a leopard, which was thrilling, but the traffic of jeeps made it less enjoyable. The guide was very friendly and did his best to show us other wildlife, like elephants and crocodiles. It\'s worth a visit, but perhaps consider going during off-peak times for a better experience.','Our family trip to Yala National Park was unforgettable! The thrill of spotting a leopard was the highlight, and the kids loved seeing so many elephants up close. The park is vast and offers a diverse landscape, perfect for camping and exploring. Our guide was excellent, ensuring we saw as much as possible. Just be prepared for crowds during peak hours. Still, we had a fantastic time and would love to return!','Yala National Park did not disappoint! The wildlife sightings were incredible, especially the leopards and elephants. I also enjoyed the serene beauty of the park during our camping experience. However, I found it a bit touristy, with many jeeps vying for the same views, which sometimes made it feel rushed. Despite that, it was a great opportunity for wildlife photography, and I would recommend it to fellow travelers.']",yala national park,0.99808532
9,Udawalawe National Park,6.4746288,80.876319,Sri Lanka,4.3,6156,"['Udawalawe National Park was absolutely breathtaking! We went on a safari early in the morning, and the wildlife was abundant. Elephants were everywhere, and we even had a close encounter with a herd crossing the road. The park is well-maintained, and the photography opportunities are endless. I highly recommend bringing a good camera to capture the stunning landscapes and vibrant bird species. Just be prepared for a bit of a wait at the entrance if you arrive later in the day. Overall, an unforgettable experience!', 'As a family, our visit to Udawalawe was a fantastic adventure. The children loved spotting elephants and various birds, and our guide was incredibly knowledgeable. We did feel the safari could be a bit pricey, especially with the added costs for larger vehicles. However, the experience of seeing elephants up close made it worth every penny. Just a tip: try to book your safari in advance to avoid long queues!', 'We had a lovely time exploring Udawalawe National Park, but I must say, the timing of our visit was off. We went during the hottest part of the day and saw fewer animals than expected. However, the park\'s beauty is undeniable, and the majestic elephants we did see were a highlight. I recommend visiting in the early morning or late afternoon for the best chance of wildlife sightings. It\'s a beautiful place and worth the trip!', 'What a spectacular park! The highlight of our safari at Udawalawe was definitely the elephants. Seeing them in their natural habitat was magical. The park also offers beautiful scenery, which made for some great photos. My only complaint would be the long wait at the entrance; we arrived a little late and ended up waiting over an hour. But once inside, it was all worth it. I\'d recommend this park to any wildlife enthusiast!', 'Udawalawe National Park exceeded my expectations! The range of wildlife is remarkable, and the safari was well organized. We saw elephants, water buffalo, and a variety of birds. The guides are friendly and provide valuable information about the animals. One downside was the cost of entry and the safari itself, which can add up quickly. Nevertheless, the experience of being so close to the elephants made it truly special. A must-visit in Sri Lanka!']",udawalawe national park,0.998928821
